days_to_fit_within_outbreak,outbreak,month,mean_absolute_error,lower_bound_absolute_error,upper_bound_absolute_error,mean_percentual_absolute_error,lower_percentual_percentual_absolute_error,upper_percentual_percentual_absolute_error
21.0,0,1,3.1007285229732964,2.531252642155109,3.66371279650945,136.00426226183708,112.45863593011309,160.4414841210008
21.0,0,2,165.98266145589122,111.2582842731747,220.86528266889675,1275.380830186385,840.5075162842974,1711.5961218715408
21.0,0,3,120.04617104057832,86.5611136251169,153.7277841794472,777.4442482959537,578.367127292856,996.256700168194
28.0,0,1,10.415817329970523,6.651022641394635,14.10162604426611,263.96788027314176,175.04340141334526,346.6934494684667
28.0,0,2,194.06530895601298,111.01338518012804,288.87950953901577,1290.1600731569256,750.8830701524975,1864.202581536104
28.0,0,3,108.02251952571187,69.67816038330034,149.66324128678139,723.37530393561,456.357729644315,1021.9505392096556
35.0,0,1,4.46943643156955,3.990236327808058,4.978290211833308,69.58100339614113,61.43694762757344,77.29594501124886
35.0,0,2,46.53664712230051,35.800554869827145,64.58468204993083,292.2005066636728,223.79347102088212,391.286289044204
35.0,0,3,122.68561561348088,91.76462606769935,167.93526633726387,846.2531870755416,633.5608698971143,1162.9885040894735
42.0,0,1,2.900184591254557,2.838231462117238,2.9632549338236402,31.090864047194646,30.455029659040214,31.746107884318157
42.0,0,2,4.928391647315854,4.634686279574054,5.2257279726242905,30.851146459198382,29.075135833725625,32.71585266833193
42.0,0,3,41.706994348496835,39.66162935751941,43.90294243709885,291.4788590365256,277.42261614288776,307.38971983894936
49.0,0,1,4.317670304209525,4.2701092221144075,4.361258777514687,35.192141618919244,34.79975099524094,35.56213903777025
49.0,0,2,5.191986308353977,4.7932099865153805,5.586844353980011,33.35585958235608,30.654693466633308,35.834035066377965
49.0,0,3,32.08955921360039,29.884221293602376,34.25809778590947,223.39531567317445,207.6020988344627,239.0398958792016
56.0,0,1,4.926965409272814,4.205485635435178,5.837141983700796,33.802674566203954,28.976648743055055,39.88319983895661
56.0,0,2,22.053793030337882,8.18198072678857,39.36058267783085,146.24993330516077,57.38823727949506,264.64134305276195
56.0,0,3,45.46828033268478,21.598108121953047,75.18139944947302,312.81917320018226,144.22408413376183,527.2052299612404
63.0,0,1,2.6854856319763476,0.4407484520179236,5.95415344969543,17.023055505757515,2.726915905070632,37.77671219786438
63.0,0,2,22.992615354463318,7.083344223251679,47.18771921915041,157.4479127324599,47.66131765647714,320.03228091804743
63.0,0,3,36.588792817848734,11.04279522013774,72.95091779285612,249.08849654132246,76.65314207789648,495.54186511264186
70.0,0,1,0.3027616824407221,0.20899466567722566,0.43384865360798774,1.8882669444466438,1.2422171795479209,2.6185351261578176
70.0,0,2,1.4759587627408564,1.0617325590302433,1.9366142282771883,10.295535840576793,7.501567541881677,13.49108720756083
70.0,0,3,1.855586407056397,1.4380198857399795,2.3465807696708527,12.674066979941063,9.921306435112225,15.713582012223405
